"Column Name","Label"
"DP4_0098CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$50,000 to $59,999"
"DP4_0099C","Number!!VALUE!!Owner-occupied housing units!!$60,000 to $79,999"
"DP4_0099CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$60,000 to $79,999"
"DP4_0100C","Number!!VALUE!!Owner-occupied housing units!!$80,000 to $99,999"
"DP4_0100CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$80,000 to $99,999"
"DP4_0101C","Number!!VALUE!!Owner-occupied housing units!!$100,000 to $124,999"
"DP4_0101CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$100,000 to $124,999"
"DP4_0102C","Number!!VALUE!!Owner-occupied housing units!!$125,000 to $149,999"
"DP4_0102CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$125,000 to $149,999"
"DP4_0103C","Number!!VALUE!!Owner-occupied housing units!!$150,000 to $199,999"
"DP4_0103CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$150,000 to $199,999"
"DP4_0104C","Number!!VALUE!!Owner-occupied housing units!!$200,000 or more"
"DP4_0104CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$200,000 or more"
"DP4_0105C","Number!!VALUE!!Owner-occupied housing units!!Median (dollars)"
"DP4_0105CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!Median (dollars)"
"DP4_0106C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units"
"DP4_0106CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units"
"DP4_0107C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage"
"DP4_0107CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage"
"DP4_0108C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!Less than $600"
"DP4_0108CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!Less than $600"
"DP4_0109C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$600 to $699"
"DP4_0109CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$600 to $699"
"DP4_0110C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$700 to $799"
"DP4_0110CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$700 to $799"
"DP4_0111C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$800 to $899"
"DP4_0111CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$800 to $899"
"DP4_0112C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$900 to $999"
"DP4_0112CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$900 to $999"
"DP4_0113C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$1,000 to $1,499"
"DP4_0113CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$1,000 to $1,499"
"DP4_0114C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$1,500 to $1,999"
"DP4_0114CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$1,500 to $1,999"
"DP4_0115C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$2,000 to $2,999"
"DP4_0115CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$2,000 to $2,999"
"DP4_0116C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$3,000 or more"
"DP4_0116CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!$3,000 or more"
"DP4_0117C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!Median (dollars)"
"DP4_0117CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!With a mortgage!!Median (dollars)"
"DP4_0118C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!Without a mortgage"
"DP4_0118CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!Without a mortgage"
"DP4_0119C","Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!Without a mortgage!!Median (dollars)"
"DP4_0119CA","Annotation of Number!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Owner-occupied housing units!!Without a mortgage!!Median (dollars)"
"DP4_0120C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units"
"DP4_0120CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units"
"DP4_0121C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!Less than 10.0 percent"
"DP4_0121CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!Less than 10.0 percent"
"DP4_0122C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!10.0 to 14.9 percent"
"DP4_0122CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!10.0 to 14.9 percent"
"DP4_0123C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!15.0 to 19.9 percent"
