,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
2522,IN,18,Jay,Jay County,75,9420.0,0.0,True,,,Rural Area,
2523,IN,18,Whitley,Whitley County,183,16804.0,800.0,True,23060.0,"Fort Wayne, IN",Metropolitan Statistical Area,Outlying
2524,IN,18,Delaware,Delaware County,35,94747.0,0.0,True,34620.0,"Muncie, IN",Metropolitan Statistical Area,Central
2525,IN,18,Hancock,Hancock County,59,39843.0,0.0,True,26900.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central
2526,IN,18,Sullivan,Sullivan County,153,9692.0,0.0,True,45460.0,"Terre Haute, IN",Metropolitan Statistical Area,Outlying
2527,IN,18,Hamilton,Hamilton County,57,190143.0,7000.0,True,26900.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central
2528,IN,18,Jasper,Jasper County,73,11484.0,1000.0,True,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Outlying
2529,IN,18,Clay,Clay County,21,12138.0,0.0,True,45460.0,"Terre Haute, IN",Metropolitan Statistical Area,Central
2530,IN,18,White,White County,181,19824.0,0.0,True,,,Rural Area,
2531,IN,18,Knox,Knox County,83,25398.0,0.0,True,47180.0,"Vincennes, IN",Micropolitan Statistical Area,Central
